연령대별(1),소계
계,34133763
16세,1887
17세,4299
18세,57189
19세,208793
20세,264166
21세,338938
22세,418965
23세,433535
24세,472820
25세,520639
26세,551456
27세,587777
28세,608485
29세,620436
30세,643431
31세,633679
32세,589883
33세,588027
34세,589092
35세,585741
36세,595975
37세,617125
38세,626144
39세,705631
40세,772943
41세,786894
42세,782727
43세,774573
44세,674994
45세,723051
46세,706784
47세,726738
48세,784731
49세,811077
50세,809800
51세,847168
52세,819148
53세,814713
54세,807626
55세,741802
56세,695837
57세,716480
58세,693512
59세,653137
60세,708128
61세,714086
62세,705584
63세,638212
64세,572544
65세,552339
66세,483145
67세,481369
68세,394290
69세,327484
70세,340172
71세,227006
72세,227241
73세,212387
74세,195311
75세,179050
76세,131898
77세,104140
78세,94589
79세,81678
80세,86022
81세,62482
82세,46654
83세,40251
84세,30685
85세,23873
86세,18291
87세,13903
88세,9934
89세,6738
90세,4965
91세,3172
92세,2183
93세,1889
94세,1200
95세,827
96세,500
97세,337
98세,299
99세 이상,1054
